Date,Meta,Amazon,Apple,Netflix,Google
16/09/2021,373.059998,174.412003,148.789993,586.5,144.373505
17/09/2021,364.720001,173.126007,146.059998,589.349976,141.463501
20/09/2021,355.700012,167.786499,142.940002,575.429993,139.016998
21/09/2021,357.480011,167.181503,143.429993,573.140015,139.6465
22/09/2021,343.209991,169.002502,145.850006,590.650024,140.938507
23/09/2021,345.959991,170.800003,146.830002,593.26001,141.826508
24/09/2021,352.959991,171.276001,146.919998,592.390015,142.632996
27/09/2021,353.579987,170.289993,145.369995,592.640015,141.501007
28/09/2021,340.649994,165.798004,141.910004,583.849976,136.184006
29/09/2021,339.609985,165.056,142.830002,599.059998,134.520996
30/09/2021,339.390015,164.251999,141.5,610.340027,133.265503
01/10/2021,343.01001,164.162994,142.649994,613.150024,136.462494
04/10/2021,326.230011,159.488998,139.139999,603.349976,133.764999
05/10/2021,332.959991,161.050003,141.110001,634.809998,136.177002
06/10/2021,333.640015,163.100494,142,639.099976,137.354004
07/10/2021,329.220001,165.121506,143.289993,631.849976,139.185501
08/10/2021,330.049988,164.431,142.899994,632.659973,140.056
11/10/2021,325.450012,162.315002,142.809998,627.039978,138.847504
12/10/2021,323.769989,162.366501,141.509995,624.940002,136.712997
13/10/2021,324.540009,164.214005,140.910004,629.76001,137.899994
14/10/2021,328.529999,164.992996,143.759995,633.799988,141.412003
15/10/2021,324.76001,170.451004,144.839996,628.289978,141.675003
18/10/2021,335.339996,172.337006,146.550003,637.969971,142.960495
19/10/2021,339.98999,172.207504,148.759995,639,143.822006
20/10/2021,340.779999,170.753006,149.259995,625.140015,142.414993
21/10/2021,341.880005,171.750504,149.479996,653.159973,142.780502
22/10/2021,324.609985,166.777496,148.690002,664.780029,138.625
25/10/2021,328.690002,166.018494,148.639999,671.659973,138.772995
26/10/2021,315.809998,168.803497,149.320007,668.52002,139.671997
27/10/2021,312.220001,169.624496,148.850006,662.919983,146.427505
28/10/2021,316.920013,172.328506,152.570007,674.049988,146.128998
29/10/2021,323.570007,168.621506,149.800003,690.309998,148.270493
01/11/2021,329.980011,165.905502,148.960007,681.169983,143.774002
02/11/2021,328.079987,165.637497,150.020004,677.719971,145.863007
03/11/2021,331.619995,169.199997,151.490005,688.289978,146.789993
04/11/2021,335.850006,173.850006,150.960007,668.400024,148.682999
05/11/2021,341.130005,175.949493,151.279999,645.719971,149.240997
08/11/2021,338.619995,174.449005,150.440002,651.450012,149.351501
09/11/2021,335.369995,178.811493,150.809998,655.98999,149.248505
10/11/2021,327.640015,174.102493,147.919998,646.909973,146.626007
11/11/2021,327.73999,173.625,147.869995,657.580017,146.748001
12/11/2021,340.890015,176.257507,149.990005,682.609985,149.645493
15/11/2021,347.559998,177.283997,150,679.330017,149.388
16/11/2021,342.959991,177.035004,151,687.400024,149.076004
17/11/2021,340.769989,177.449997,153.490005,691.690002,149.061996
18/11/2021,338.690002,184.802994,157.869995,682.02002,150.709
19/11/2021,345.299988,183.828506,160.550003,678.799988,149.952499
22/11/2021,341.01001,178.628494,161.020004,659.200012,147.078506
23/11/2021,337.25,179.001999,161.410004,654.059998,146.757004
24/11/2021,341.059998,179.020493,161.940002,658.289978,146.717499
26/11/2021,333.119995,175.227997,156.809998,665.640015,142.806
29/11/2021,338.029999,178.078506,160.240005,663.840027,146.113998
30/11/2021,324.459991,175.3535,165.300003,641.900024,142.451996
01/12/2021,310.600006,172.186005,164.770004,617.77002,141.617996
02/12/2021,310.390015,171.867996,163.759995,616.469971,143.776505
03/12/2021,306.839996,169.489502,161.839996,602.130005,142.520493
06/12/2021,317.869995,171.3685,165.320007,612.690002,143.796494
07/12/2021,322.809998,176.164505,171.179993,625.580017,148.036499
08/12/2021,330.559998,176.158005,175.080002,628.080017,148.720505
09/12/2021,329.820007,174.171005,174.559998,611,148.106003
10/12/2021,329.75,172.212006,179.449997,611.659973,148.675003
13/12/2021,334.48999,169.567505,175.740005,604.559998,146.704498
14/12/2021,333.73999,169.091507,174.330002,597.98999,144.970505
15/12/2021,341.660004,173.315002,179.300003,605.039978,147.3685
16/12/2021,334.899994,168.871002,172.259995,591.059998,144.838501
17/12/2021,333.790009,170.017502,171.139999,586.72998,142.802994
