Date,Age,Volume
04/03/2020,Aged1to4,0
04/03/2020,Aged5to14,1
04/03/2020,Aged15to24,0
04/03/2020,Aged25to34,0
04/03/2020,Aged35to44,0
04/03/2020,Aged45to54,0
04/03/2020,Aged55to64,0
05/03/2020,Aged1to4,0
05/03/2020,Aged5to14,1
05/03/2020,Aged15to24,0
05/03/2020,Aged25to34,0
05/03/2020,Aged35to44,0
05/03/2020,Aged45to54,1
05/03/2020,Aged55to64,0
06/03/2020,Aged1to4,0
06/03/2020,Aged5to14,2
06/03/2020,Aged15to24,0
06/03/2020,Aged25to34,0
06/03/2020,Aged35to44,2
06/03/2020,Aged45to54,1
06/03/2020,Aged55to64,0
07/03/2020,Aged1to4,0
07/03/2020,Aged5to14,3
07/03/2020,Aged15to24,0
07/03/2020,Aged25to34,0
07/03/2020,Aged35to44,4
07/03/2020,Aged45to54,1
07/03/2020,Aged55to64,0
08/03/2020,Aged1to4,0
08/03/2020,Aged5to14,3
08/03/2020,Aged15to24,0
08/03/2020,Aged25to34,0
08/03/2020,Aged35to44,6
08/03/2020,Aged45to54,3
08/03/2020,Aged55to64,1
09/03/2020,Aged1to4,0
09/03/2020,Aged5to14,3
09/03/2020,Aged15to24,0
09/03/2020,Aged25to34,1
09/03/2020,Aged35to44,7
09/03/2020,Aged45to54,3
09/03/2020,Aged55to64,2
10/03/2020,Aged1to4,0
10/03/2020,Aged5to14,3
10/03/2020,Aged15to24,0
10/03/2020,Aged25to34,1
10/03/2020,Aged35to44,7
10/03/2020,Aged45to54,3
10/03/2020,Aged55to64,2
11/03/2020,Aged1to4,0
11/03/2020,Aged5to14,3
11/03/2020,Aged15to24,0
11/03/2020,Aged25to34,1
11/03/2020,Aged35to44,8
11/03/2020,Aged45to54,5
11/03/2020,Aged55to64,5
12/03/2020,Aged1to4,0
12/03/2020,Aged5to14,3
12/03/2020,Aged15to24,1
12/03/2020,Aged25to34,4
12/03/2020,Aged35to44,9
12/03/2020,Aged45to54,7
12/03/2020,Aged55to64,8
13/03/2020,Aged1to4,0
13/03/2020,Aged5to14,3
13/03/2020,Aged15to24,1
13/03/2020,Aged25to34,6
13/03/2020,Aged35to44,9
13/03/2020,Aged45to54,9
13/03/2020,Aged55to64,12
14/03/2020,Aged1to4,0
14/03/2020,Aged5to14,3
14/03/2020,Aged15to24,11
14/03/2020,Aged25to34,11
14/03/2020,Aged35to44,14
14/03/2020,Aged45to54,13
14/03/2020,Aged55to64,15
15/03/2020,Aged1to4,0
15/03/2020,Aged5to14,4
15/03/2020,Aged15to24,13
15/03/2020,Aged25to34,14
15/03/2020,Aged35to44,20
15/03/2020,Aged45to54,21
15/03/2020,Aged55to64,24
16/03/2020,Aged1to4,0
16/03/2020,Aged5to14,4
16/03/2020,Aged15to24,16
16/03/2020,Aged25to34,17
16/03/2020,Aged35to44,27
16/03/2020,Aged45to54,27
16/03/2020,Aged55to64,30
17/03/2020,Aged1to4,0
17/03/2020,Aged5to14,4
17/03/2020,Aged15to24,19
17/03/2020,Aged25to34,23
17/03/2020,Aged35to44,36
17/03/2020,Aged45to54,29
17/03/2020,Aged55to64,34
18/03/2020,Aged1to4,1
18/03/2020,Aged5to14,4
18/03/2020,Aged15to24,27
18/03/2020,Aged25to34,47
18/03/2020,Aged35to44,62
18/03/2020,Aged45to54,39
18/03/2020,Aged55to64,46
19/03/2020,Aged1to4,2
19/03/2020,Aged5to14,8
19/03/2020,Aged15to24,37
19/03/2020,Aged25to34,63
19/03/2020,Aged35to44,79
19/03/2020,Aged45to54,48
19/03/2020,Aged55to64,53
20/03/2020,Aged1to4,2
20/03/2020,Aged5to14,8
20/03/2020,Aged15to24,45
20/03/2020,Aged25to34,77
20/03/2020,Aged35to44,96
20/03/2020,Aged45to54,61
20/03/2020,Aged55to64,67
21/03/2020,Aged1to4,4
21/03/2020,Aged5to14,9
21/03/2020,Aged15to24,54
21/03/2020,Aged25to34,108
21/03/2020,Aged35to44,120
21/03/2020,Aged45to54,94
21/03/2020,Aged55to64,82
22/03/2020,Aged1to4,5
22/03/2020,Aged5to14,11
22/03/2020,Aged15to24,60
22/03/2020,Aged25to34,127
22/03/2020,Aged35to44,147
22/03/2020,Aged45to54,130
22/03/2020,Aged55to64,98
23/03/2020,Aged1to4,5
23/03/2020,Aged5to14,15
23/03/2020,Aged15to24,66
23/03/2020,Aged25to34,164
23/03/2020,Aged35to44,164
23/03/2020,Aged45to54,157
23/03/2020,Aged55to64,114
24/03/2020,Aged1to4,5
24/03/2020,Aged5to14,16
24/03/2020,Aged15to24,74
24/03/2020,Aged25to34,188
24/03/2020,Aged35to44,183
24/03/2020,Aged45to54,189
24/03/2020,Aged55to64,132
25/03/2020,Aged1to4,5
25/03/2020,Aged5to14,19
25/03/2020,Aged15to24,91
25/03/2020,Aged25to34,227
25/03/2020,Aged35to44,213
25/03/2020,Aged45to54,227
25/03/2020,Aged55to64,161
26/03/2020,Aged1to4,8
26/03/2020,Aged5to14,21
26/03/2020,Aged15to24,108
26/03/2020,Aged25to34,264
26/03/2020,Aged35to44,246
26/03/2020,Aged45to54,279
26/03/2020,Aged55to64,193
27/03/2020,Aged1to4,10
27/03/2020,Aged5to14,24
27/03/2020,Aged15to24,120
27/03/2020,Aged25to34,309
27/03/2020,Aged35to44,303
27/03/2020,Aged45to54,316
27/03/2020,Aged55to64,230
28/03/2020,Aged1to4,14
28/03/2020,Aged5to14,24
28/03/2020,Aged15to24,133
28/03/2020,Aged25to34,357
28/03/2020,Aged35to44,351
28/03/2020,Aged45to54,364
28/03/2020,Aged55to64,266
29/03/2020,Aged1to4,15
29/03/2020,Aged5to14,27
29/03/2020,Aged15to24,152
29/03/2020,Aged25to34,406
29/03/2020,Aged35to44,414
29/03/2020,Aged45to54,428
29/03/2020,Aged55to64,309
30/03/2020,Aged1to4,15
30/03/2020,Aged5to14,27
30/03/2020,Aged15to24,168
30/03/2020,Aged25to34,446
30/03/2020,Aged35to44,463
30/03/2020,Aged45to54,463
30/03/2020,Aged55to64,356
31/03/2020,Aged1to4,17
31/03/2020,Aged5to14,28
31/03/2020,Aged15to24,175
31/03/2020,Aged25to34,474
31/03/2020,Aged35to44,495
31/03/2020,Aged45to54,499
31/03/2020,Aged55to64,394
01/04/2020,Aged1to4,19
01/04/2020,Aged5to14,28
01/04/2020,Aged15to24,190
01/04/2020,Aged25to34,513
01/04/2020,Aged35to44,541
01/04/2020,Aged45to54,553
01/04/2020,Aged55to64,436
02/04/2020,Aged1to4,19
02/04/2020,Aged5to14,29
02/04/2020,Aged15to24,211
02/04/2020,Aged25to34,558
02/04/2020,Aged35to44,607
02/04/2020,Aged45to54,603
02/04/2020,Aged55to64,475
03/04/2020,Aged1to4,20
03/04/2020,Aged5to14,29
03/04/2020,Aged15to24,229
03/04/2020,Aged25to34,612
03/04/2020,Aged35to44,675
03/04/2020,Aged45to54,685
03/04/2020,Aged55to64,530
04/04/2020,Aged1to4,21
04/04/2020,Aged5to14,32
04/04/2020,Aged15to24,249
04/04/2020,Aged25to34,670
04/04/2020,Aged35to44,742
04/04/2020,Aged45to54,759
04/04/2020,Aged55to64,577
05/04/2020,Aged1to4,24
05/04/2020,Aged5to14,34
05/04/2020,Aged15to24,264
05/04/2020,Aged25to34,739
05/04/2020,Aged35to44,799
05/04/2020,Aged45to54,823
05/04/2020,Aged55to64,640
06/04/2020,Aged1to4,24
06/04/2020,Aged5to14,35
06/04/2020,Aged15to24,281
06/04/2020,Aged25to34,808
06/04/2020,Aged35to44,892
06/04/2020,Aged45to54,901
06/04/2020,Aged55to64,688
07/04/2020,Aged1to4,30
07/04/2020,Aged5to14,38
07/04/2020,Aged15to24,341
07/04/2020,Aged25to34,935
07/04/2020,Aged35to44,1037
07/04/2020,Aged45to54,1040
07/04/2020,Aged55to64,786
08/04/2020,Aged1to4,30
08/04/2020,Aged5to14,41
08/04/2020,Aged15to24,358
08/04/2020,Aged25to34,997
08/04/2020,Aged35to44,1104
08/04/2020,Aged45to54,1109
08/04/2020,Aged55to64,837
09/04/2020,Aged1to4,33
09/04/2020,Aged5to14,43
09/04/2020,Aged15to24,378
09/04/2020,Aged25to34,1089
09/04/2020,Aged35to44,1167
09/04/2020,Aged45to54,1211
09/04/2020,Aged55to64,913
10/04/2020,Aged1to4,36
10/04/2020,Aged5to14,45
10/04/2020,Aged15to24,416
10/04/2020,Aged25to34,1204
