Local Authority,Project Location,Project Details,Approved Funding (€),Approval Year
Carlow County Council,Paupish Lane,"Investigation works to determine size, invert & orientation of existing culverts, construction of reinforced concrete chamber, installation of non-return valves in new chamber & associated works",36000,2014
Carlow County Council,Carriglead Lock House,"Install flood barriers, construct ramp and sump & associated works",10125,2017
Carlow County Council,Tinnahinch Quay,"Raise level by 350mm for a distance of 80m downstream of Graignamanagh Bridge, provide demountable flood gate to isolate area from flooding from Mill Race, provide demountable flood gates to each of the properties and provide 350mm up stand to existing wall along Mill Race for 20m",31050,2016
Carlow County Council,Leighlinbridge,"Flood alleviation works along banks of River Barrow at Carlow Road (Lord Bagenal Hotel) & Barrow Track (Garrison House), together with ancillary drainage works",9871,2015
Carlow County Council,Tullow,"Construction\installation of walls, berms, flood gates along River Slaney / Upgrade drainage system along Thom Traynor Road / Installation of pumps and sumps",9870,2015
Carlow County Council,Kennedy Car Park,Construct new wall on the car park side of existing wall & carry out works to include drainage and sumps,17985,2016
Carlow County Council,Tinnahinch,Provision of flood barriers /Provision of small sump and portable pump / Laying of surface water pipeline and associated works.,9871,2015
Carlow County Council,Cassidy's House Gotham,Construct reinforced concrete flood wall & provide demountable flood gates,6030,2016
Carlow County Council,Tinnahinch Loch,"Installation of flood gates at key locations, place new concrete floor & up stand wall in garage",17280,2016
Carlow County Council,Ballymurphy Tullow,"Berms, retaining walls and drainage works",31500,2010
Carlow County Council,Mortarstown Carlow,To construct a pump station & associated works,14400,2019
Carlow County Council,Leighlinbridge,"Flood alleviation works along banks of River Barrow at Carlow Road (Lord Bagenal Hotel) & Barrow Track (Garrison House), together with ancillary drainage works",36661,2012
Carlow County Council,Fonthill Ballinabrannagh,"Install flood gates at pedestrian, vehicular & field gate entrances and openings on opposite side of public road. Provide sump to facilitate over pumping of surface waters & construct buttress wall to rear of wall of property",14760,2016
Carlow County Council,Tullow,"Construction\installation of walls, berms, flood gates along River Slaney / Upgrade drainage system along Thom Traynor Road / Installation of pumps and sumps",150000,2012
Carlow County Council,Tullow,"Construction\installation of walls, berms, flood gates along River Slaney / Upgrade drainage system along Thom Traynor Road / Installation of pumps and sumps",450000,2010
Carlow County Council,Burrin Bridge,Removal of deposited silt from a section of the river from Burrin Bridge to downstream to the confluence with the River Barrow.,20700,2017
Carlow County Council,Tinnahinch,Provision of flood barriers /Provision of small sump and portable pump / Laying of surface water pipeline and associated works.,53550,2011
Carlow County Council,Tullow,"Construction\installation of walls, berms, flood gates along River Slaney / Upgrade drainage system along Thom Traynor Road / Installation of pumps and sumps",100000,2012
Carlow County Council,Tinnahinch Quay,"Raise level by 350mm for a distance of 80m downstream of Graignamanagh Bridge, provide demountable flood gate to isolate area from flooding from Mill Race, provide demountable flood gates to each of the properties and provide 350mm up stand to existing wall along Mill Race for 20m",12780,2017
Carlow County Council,Paupish Lane Carlow,"Construction of chambers, installation of gates and non-return valves. Associated works",49500,2016
