date staff_id actual_worked_hours
2020-06-01 8744T 9
2020-06-01 8100O 11
2020-06-01 7106Q 8
2020-06-01 9598T 4
2020-06-01 7380A 11
2020-06-01 2310R 4
2020-06-01 7904G 4
2020-06-01 9900H 10
2020-06-01 7659D 10
2020-06-01 9350P 10
2020-06-01 6072F 10
2020-06-02 8744T 9
2020-06-02 8100O 8
2020-06-02 7106Q 5
2020-06-02 9598T 9
2020-06-02 7380A 11
2020-06-02 2310R 8
2020-06-02 7904G 5
2020-06-02 9900H 11
2020-06-02 7659D 5
2020-06-02 9350P 5
2020-06-02 6072F 6
2020-06-03 8744T 10
2020-06-03 8100O 8
2020-06-03 7106Q 11
2020-06-03 9598T 4
2020-06-03 7380A 8
2020-06-03 2310R 10
2020-06-03 7904G 7
2020-06-03 9900H 11
2020-06-03 7659D 6
2020-06-03 9350P 5
2020-06-03 6072F 6
2020-06-04 8744T 9
2020-06-04 8100O 7
2020-06-04 7106Q 10
2020-06-04 9598T 10
2020-06-04 7380A 10
2020-06-04 2310R 9
2020-06-04 7904G 8
2020-06-04 9900H 8
2020-06-04 7659D 4
2020-06-04 9350P 11
2020-06-04 6072F 11
2020-06-05 8744T 11
2020-06-05 8100O 7
2020-06-05 7106Q 7
2020-06-05 9598T 5
2020-06-05 7380A 7
2020-06-05 2310R 7
2020-06-05 7904G 8
2020-06-05 9900H 11
2020-06-05 7659D 7
2020-06-05 9350P 6
2020-06-05 6072F 7
2020-06-06 8744T 11
2020-06-06 8100O 6
2020-06-06 7106Q 5
2020-06-06 9598T 8
2020-06-06 7380A 10
2020-06-06 2310R 9
2020-06-06 7904G 6
2020-06-06 9900H 7
2020-06-06 7659D 11
2020-06-06 9350P 7
2020-06-06 6072F 5
2020-06-07 8744T 4
2020-06-07 8100O 8
2020-06-07 7106Q 7
2020-06-07 9598T 11
2020-06-07 7380A 11
2020-06-07 2310R 6
2020-06-07 7904G 10
2020-06-07 9900H 11
2020-06-07 7659D 5
2020-06-07 9350P 10
2020-06-07 6072F 9
2020-06-08 8744T 5
2020-06-08 8100O 6
2020-06-08 7106Q 6
2020-06-08 9598T 7
2020-06-08 7380A 8
2020-06-08 2310R 4
2020-06-08 7904G 10
2020-06-08 9900H 8
2020-06-08 7659D 11
2020-06-08 9350P 7
2020-06-08 6072F 7
2020-06-09 8744T 9
2020-06-09 8100O 5
2020-06-09 7106Q 5
2020-06-09 9598T 8
2020-06-09 7380A 11
2020-06-09 2310R 9
2020-06-09 7904G 5
2020-06-09 9900H 4
2020-06-09 7659D 8
2020-06-09 9350P 10
2020-06-09 6072F 11
2020-06-10 8744T 4
2020-06-10 8100O 7
2020-06-10 7106Q 8
2020-06-10 9598T 7
2020-06-10 7380A 9
2020-06-10 2310R 4
2020-06-10 7904G 8
2020-06-10 9900H 7
2020-06-10 7659D 11
2020-06-10 9350P 7
2020-06-10 6072F 4
2020-06-11 8744T 11
2020-06-11 8100O 8
2020-06-11 7106Q 8
2020-06-11 9598T 4
2020-06-11 7380A 8
2020-06-11 2310R 10
2020-06-11 7904G 9
2020-06-11 9900H 4
2020-06-11 7659D 7
2020-06-11 9350P 9
2020-06-11 6072F 7
2020-06-12 8744T 10
2020-06-12 8100O 11
2020-06-12 7106Q 8
2020-06-12 9598T 6
2020-06-12 7380A 5
2020-06-12 2310R 7
2020-06-12 7904G 9
2020-06-12 9900H 8
2020-06-12 7659D 8
2020-06-12 9350P 9
2020-06-12 6072F 5
2020-06-13 8744T 8
2020-06-13 8100O 10
2020-06-13 7106Q 9
2020-06-13 9598T 4
2020-06-13 7380A 4
2020-06-13 2310R 11
2020-06-13 7904G 10
2020-06-13 9900H 11
2020-06-13 7659D 9
2020-06-13 9350P 11
2020-06-13 6072F 8
2020-06-14 8744T 4
2020-06-14 8100O 7
2020-06-14 7106Q 11
2020-06-14 9598T 7
2020-06-14 7380A 10
2020-06-14 2310R 11
2020-06-14 7904G 9
2020-06-14 9900H 5
2020-06-14 7659D 7
2020-06-14 9350P 8
2020-06-14 6072F 7
2020-06-15 8744T 6
2020-06-15 8100O 9
2020-06-15 7106Q 6
2020-06-15 9598T 8
2020-06-15 7380A 4
2020-06-15 2310R 6
2020-06-15 7904G 7
2020-06-15 9900H 5
2020-06-15 7659D 9
2020-06-15 9350P 10
2020-06-15 6072F 5
2020-06-16 8744T 9
2020-06-16 8100O 11
2020-06-16 7106Q 9
2020-06-16 9598T 4
2020-06-16 7380A 4
2020-06-16 2310R 8
2020-06-16 7904G 8
2020-06-16 9900H 5
2020-06-16 7659D 6
2020-06-16 9350P 8
2020-06-16 6072F 11
2020-06-17 8744T 9
2020-06-17 8100O 7
2020-06-17 7106Q 9
2020-06-17 9598T 5
2020-06-17 7380A 4
2020-06-17 2310R 4
2020-06-17 7904G 10
2020-06-17 9900H 4
2020-06-17 7659D 10
2020-06-17 9350P 4
2020-06-17 6072F 5
2020-06-18 8744T 7
2020-06-18 8100O 11
2020-06-18 7106Q 6
2020-06-18 9598T 10
2020-06-18 7380A 7
2020-06-18 2310R 5
2020-06-18 7904G 9
2020-06-18 9900H 8
2020-06-18 7659D 10
2020-06-18 9350P 4
2020-06-18 6072F 4
2020-06-19 8744T 11
2020-06-19 8100O 8
2020-06-19 7106Q 9
2020-06-19 9598T 10
2020-06-19 7380A 6
2020-06-19 2310R 8
2020-06-19 7904G 7
2020-06-19 9900H 6
2020-06-19 7659D 9
2020-06-19 9350P 11
2020-06-19 6072F 6
2020-06-20 8744T 9
2020-06-20 8100O 6
2020-06-20 7106Q 11
2020-06-20 9598T 8
2020-06-20 7380A 11
