,text,favorites,retweets,source,day,hour,sentiment_score,sentiment_tag
0,"@Anne04146010 Hi Anne, you need to wait at least 5 months after your second vaccine dose before you can get a booster.",0,0,Agorapulse app,2021-11-28,12:15:02,-0.15,Negative
1,"It's flu season, so if you're 65 or over, it's time to get your free, annual #FluVaccine. Make an appointment with your GP or Pharmacist today. Find out more at https://t.co/5ZnO6RFY1b https://t.co/anke246LPe",6,0,Twitter Media Studio,2021-11-28,11:50:00,0.45,Positive
2,"Don't make your minor injury a major hassle. If it's a sprain, break or minor burn, your local injury unit can treat you. Find out more about injury units here: https://t.co/I35NifLMKz https://t.co/UpB1Dp78Xg",6,3,Twitter Web App,2021-11-28,10:32:00,0.0925,Neutral
3,Here are today's walk-in #COVIDVaccine clinics. We're operating some walk-in clinics for booster vaccines for healthcare workers &amp; people aged 60-69. You must wait at least 5 months after your first vaccine course before receiving a booster👉🏾https://t.co/5HSBxeHA16 #ForUsAll https://t.co/39WB1TQ6Ce,38,16,Twitter Media Studio,2021-11-28,09:02:00,-0.05000000000000001,Negative
4,"@Rachgen Hi Rachel, you would need to check this with the UK border control to confirm what you will need for entry to their country.",1,0,Agorapulse app,2021-11-27,19:47:31,0.0,Neutral
5,"Healthcare workers can prevent the spread of flu and save lives by getting the flu vaccine. Speak to your line manager, peer vaccinator, or occupational health department about getting your free #FluVaccine this winter. https://t.co/5ZnO6RFY1b

#YourBestShot https://t.co/LLetcPDfgI",6,5,Twitter Web App,2021-11-27,19:15:00,0.4,Positive
6,"@flyfisherboy1 Hi there, once the rollout begins for your age group details will be added here: https://t.co/kS7LjD6IUv",0,0,Agorapulse app,2021-11-27,19:01:48,0.0,Neutral
7,@Tattydread Hi there can you drop us a DM with some more information please?,0,0,Agorapulse app,2021-11-27,18:51:49,0.5,Positive
8,"If you're regularly in high-risk environments, and you don't have symptoms, the advice is to use antigen tests twice a week. If you do have symptoms - please don't use an antigen test. Stay at home and book in for a PCR test.

#ForUsAll | https://t.co/QBUhe6k0Ps https://t.co/WkXK4QS1By",19,8,Twitter Media Studio,2021-11-27,18:15:00,0.0,Neutral
9,"If you test positive for COVID-19 you will get a text message. This will include a link to a website where you can upload contact details for your close contacts. If you do not use the website, a contact tracer will phone you to collect the details. https://t.co/wDGULKjLWo",14,6,Twitter Web App,2021-11-27,16:47:00,0.22727272727272727,Positive
10,"@YvonnecWhelan Hi Yvonne, Walk-in booster vaccination clinics are open to different groups on specific days and times. You can see more information here: https://t.co/2ew0ZKomar",0,0,Agorapulse app,2021-11-27,16:26:29,0.125,Neutral
11,"If you have symptoms of COVID-19, self-isolate and get a PCR test. Do this even if you are part or fully vaccinated against COVID-19. 
 
Learn more: https://t.co/n7Z3xQTeYT

#StaySafe | #ForUsAll https://t.co/sntnlr3Cou",13,7,Twitter Media Studio,2021-11-27,14:28:00,0.5,Positive
12,"An initiative at Turners Cross Day Care Centre, Cork that supports older adults to stay physically active during COVID-19 through cocooning and beyond had a significant positive impact on the lives of older people locally.

Learn more: https://t.co/e8vjrncWHU #OurHealthService https://t.co/0uSdFTbSoU",7,3,Twitter Web App,2021-11-27,11:12:00,0.1627840909090909,Positive
13,"@Fraggle241 Hi there, could you please DM us regarding this?",0,0,Agorapulse app,2021-11-27,09:55:50,0.0,Neutral
14,"@mallotnt Hi Theresa, could you please DM us regarding this?",0,0,Agorapulse app,2021-11-27,09:41:29,0.0,Neutral
15,"""Organ donation can save another life.""

#Watch Caroline, Paediatric ICU Nurse in Temple Street Hospital, speak about organ donation. #HaveThatConversation with your family this weekend. #OrganDonationSavesLives https://t.co/kU1vdK1END",75,32,Twitter Web App,2021-11-27,09:36:00,0.0,Neutral
16,Here are today's walk-in #COVIDVaccine clinics. We're operating some walk-in clinics for booster vaccines for healthcare workers &amp; people aged 60-69. You must wait at least 5 months after your first vaccine course before receiving a booster👉🏾https://t.co/z5oMZbMSxP #ForUsAll https://t.co/df4hRIESYw,34,21,Twitter Media Studio,2021-11-27,08:32:00,-0.05000000000000001,Negative
17,@almdpaulinha Hi there. Here are the details of what is required: https://t.co/3ezFdRG5uQ,1,0,Agorapulse app,2021-11-26,20:41:09,0.0,Neutral
