,date,views,comments,article,tag,sentiment_score,sentiment_tag
0,2021-11-25,93201,68,"ICU nurses: 'No more clapping by the public or lighting candles. At this stage, it's an insult'",General news,-0.125,Negative
1,2021-11-24,75036,132,"Coronavirus: 3,893 new cases confirmed in Ireland, with 43 deaths notified in the past week",Daily press announcement,0.09545454545454546,Neutral
2,2021-11-22,102845,188,"Coronavirus: 5,634 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
3,2021-11-15,96538,148,"Coronavirus: 4,570 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
4,2021-11-11,62908,69,"Coronavirus: 3,680 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
5,2021-11-05,78084,123,"Coronavirus: 3,903 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
6,2021-11-04,72429,104,"Coronavirus: Daily cases exceed 3,000 for third day in a row",General news,0.0,Neutral
7,2021-11-03,27042,68,"Daily cases would be 'north of 10,000' without vaccines: The key points from today's NPHET briefing",Vaccine,0.0,Neutral
8,2021-11-02,34020,68,"No plan to reintroduce restrictions but Covid figures are 'very concerning', Donnelly says ",General news,0.2,Positive
9,2021-11-02,126864,183,"Coronavirus: 3,726 new cases confirmed as Ireland records highest daily figure since January",Daily press announcement,0.1787878787878788,Positive
10,2021-11-01,89317,98,"Coronavirus: 2,855 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
11,2021-10-28,69919,96,"Coronavirus: 2,605 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
12,2021-10-27,65470,75,"Coronavirus: 1,631 new cases confirmed in Ireland, with 67 deaths notified in the past week",Daily press announcement,0.09545454545454546,Neutral
13,2021-10-26,51874,74,"Coronavirus: 2,193 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
14,2021-10-23,83220,109,"Coronavirus: 2,427 new cases of Covid-19 confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
15,2021-10-22,60782,84,"Coronavirus: 2,466 new cases of Covid-19 confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
16,2021-10-17,42680,29,"Coronavirus: 1,380 new cases of Covid-19 confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
17,2021-10-16,77419,129,"Coronavirus: 2,180 new cases of Covid-19 confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
