Token,Volume,Type,Slice,Views,Comments,Favourites,Retweets,Content,Model,Centroid,Importance,Topic,Dataset,CP Score
Michael Noonan,9,Entities,TheJournal,5580325,13279,0,0,338,BERTopic,Mortgage,0.08494979424,Topic 1,News sites,0.1833715559
Anglo,7,Entities,TheJournal,5580325,13279,0,0,338,BERTopic,Rate,0.03794601115,Topic 1,News sites,0.1833715559
Seán FitzPatrick's,5,Entities,TheJournal,5580325,13279,0,0,338,BERTopic,Customer,0.03865667983,Topic 1,News sites,0.1833715559
Goodbody,5,Entities,TheJournal,5580325,13279,0,0,338,BERTopic,Arrears,0.06154984697,Topic 1,News sites,0.1833715559
Groove Armada Facebook,3,Entities,TheJournal,5580325,13279,0,0,338,BERTopic,Club,0.2733361293,Topic 2,News sites,0.2350638522
Bernard Byrne,3,Entities,TheJournal,5580325,13279,0,0,338,BERTopic,All-Ireland,0.2030113036,Topic 2,News sites,0.2350638522
Donohoe,2,Entities,TheJournal,5580325,13279,0,0,338,BERTopic,Final,0.0866954811,Topic 2,News sites,0.2350638522
Brexit,1,Entities,TheJournal,5580325,13279,0,0,338,BERTopic,Action,0.06878338401,Topic 2,News sites,0.2350638522
pro-Palestine,1,Entities,TheJournal,5580325,13279,0,0,338,BERTopic,Happened,0.2845077136,Topic 3,News sites,0.2500999537
Munster,1,Entities,TheJournal,5580325,13279,0,0,338,BERTopic,Today,0.3001516708,Topic 3,News sites,0.2500999537
Roscommon,1,Entities,TheJournal,5580325,13279,0,0,338,BERTopic,Evening,0.384086705,Topic 3,News sites,0.2500999537
Broadcaster Ivan Yates,1,Entities,TheJournal,5580325,13279,0,0,338,BERTopic,What,0.2987341039,Topic 3,News sites,0.2500999537
Dick Clerkin's,1,Entities,TheJournal,5580325,13279,0,0,338,LDA,Mortgage,0.035,Topic 1,News sites,0.03822613851
Dáil Éireann',1,Entities,TheJournal,5580325,13279,0,0,338,LDA,Rate,0.024,Topic 1,News sites,0.03822613851
Brendan Howlin,1,Entities,TheJournal,5580325,13279,0,0,338,LDA,Year,0.013,Topic 1,News sites,0.03822613851
Catherine Murphy,1,Entities,TheJournal,5580325,13279,0,0,338,LDA,Added,0.014,Topic 1,News sites,0.03822613851
Dáil,1,Entities,TheJournal,5580325,13279,0,0,338,LDA,Deal,0.029,Topic 2,News sites,0.3061480983
Denis O'Brien's,1,Entities,TheJournal,5580325,13279,0,0,338,LDA,Debt,0.028,Topic 2,News sites,0.3061480983
Brendan Maher's,1,Entities,TheJournal,5580325,13279,0,0,338,LDA,Million,0.026,Topic 2,News sites,0.3061480983
