,date,article,views,comments
0,"Mar 3rd 2022, 12:41 PM",AIB returns to profit as discussions underway to buy back some State shares,"9,969  Views", 11 Comments
1,"Dec 31st 2021, 4:43 PM",Competition watchdog to fully investigate AIB and Ulster Bank loan book deal,"17,776  Views", 12 Comments
2,"Dec 21st 2021, 8:48 AM","State to sell 15% chunk of its AIB stake over the next six months, Donohoe announces","19,824  Views", 33 Comments
3,"Nov 16th 2021, 3:26 PM",Sean FitzPatrick remembered by family as a ‘giant of a man’,"41,407  Views", 0 Comments
4,"Nov 9th 2021, 6:48 PM",Anglo's collapse has had an outsized impact on Irish life and so will Seán FitzPatrick's legacy,"25,421  Views", 2 Comments
5,"Sep 27th 2021, 4:57 PM",College student accused of having €22k in money stolen during smishing attacks on AIB customers,"48,732  Views", 0 Comments
6,"Jul 20th 2021, 10:46 AM",Ireland's bank network 'is being destroyed' says FSU after AIB announces 15 branch closures,"37,830  Views", 55 Comments
7,"Jun 28th 2021, 10:10 AM",AIB to take on €4.2 billion worth of Ulster Bank's corporate and commercial loan book,"13,009  Views", 17 Comments
8,"May 17th 2021, 2:19 PM",'Lingering resentment': Public trust in Irish banks remains low after 2008,"12,483  Views", 18 Comments
9,"Mar 30th 2021, 11:40 AM",Ulster Bank topped the Financial Ombudsman's complaints table in 2020 for the second year in a row,"6,370  Views", 5 Comments
10,"Mar 2nd 2021, 3:35 PM",'A landmark deal': AIB agrees to buy stockbrokers Goodbody for €138 million,"30,681  Views", 24 Comments
11,"Feb 22nd 2021, 6:30 AM",Four in five people were targeted by banking fraud last year in Ireland,"12,873  Views", 9 Comments
12,"Feb 19th 2021, 8:50 AM",Ulster says go: Bank's decision to exit was in the wind — but why is it happening now?,"33,626  Views", 31 Comments
13,"Jan 24th 2021, 6:30 AM",Irish banks want to take on Revolut together — but why has the competition watchdog 'rejected' them?,"78,272  Views", 37 Comments
14,"Jan 23rd 2021, 12:21 PM",AIB customers hit by increase in 'smishing' fraud attacks,"28,258  Views", 27 Comments
15,"Dec 2nd 2020, 11:15 AM","AIB to cut 1,500 jobs and merge branches in bid to save costs","37,856  Views", 38 Comments
16,"Sep 1st 2020, 6:45 AM",Pace of recovery in Irish manufacturing slips as spike in Covid-19 cases 'rattles' business sentiment in August,"10,425  Views", 2 Comments
17,"Aug 19th 2020, 12:51 PM","Card spend increase last month in pubs, restaurants and hotels compared to 2019, AIB says","17,954  Views", 12 Comments
18,"Aug 9th 2020, 12:05 AM",'There are people working in their bedrooms keeping the banking system going and this is their reward',"109,479  Views", 33 Comments
19,"Aug 6th 2020, 4:30 PM",Bank of Ireland to conduct review after customers lose thousands of euro in text scam,"67,056  Views", 86 Comments
